lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
yapılı	ADJ	67	2	65	20	3	0	42	2	Personality, Values & Behavior	appearance	49	2	0.01588845655	8.143512513	3.917245878	6	3
yapılış	NOUN	40	3	37	2	25	0	10	3	Other	other	21	6	0.006809338521	4.861798515	3.697520822	7	3
yapım	NOUN	1052	190	862	157	115	16	590	174	Other	other	411	31	0.1332684825	127.865301	5.107165337	5	2
yapımcı	NOUN	42	16	26	1	1	0	24	16	Work & Economy	occupations	28	17	0.009079118029	5.104888441	3.718205421	7	3
yapımcılık	NOUN	1	1	0	0	0	0	0	1	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	10	4
yapımevi	NOUN	2	1	1	0	1	0	0	1	Arts, Media & Entertainment	media	2	1	0.0006485084306	0.2430899258	2.56185822	8	4
yapıncak	NOUN	1	0	1	1	0	0	0	0	Nature & Living Things	plants	1	1	0.0003242542153	0.1215449629	2.385766961	8	3
yapısal	ADJ	28	2	26	4	11	0	11	2	Other	other	16	1	0.005188067445	3.403258961	3.547134963	7	3
yapıt	NOUN	36	8	28	2	9	1	17	7	Arts, Media & Entertainment	art	23	11	0.007457846952	4.375618664	3.652938689	5	2
yapıvermek	VERB	11	8	3	0	2	0	1	8	Other	other	10	6	0.003242542153	1.336994592	3.163918211	10	4
yapış	ADJ	4	3	1	1	0	0	0	3	Other	other	4	3	0.001297016861	0.4861798515	2.78370697	5	2
yapış	NOUN	21	6	15	5	3	0	7	6	Other	other	21	11	0.006809338521	2.552444221	3.427159646	5	2
yapışkan	ADJ	317	35	282	31	13	0	238	35	Other	other	153	8	0.04961089494	38.52975323	4.587164085	8	3
yapışkan	NOUN	15	3	12	3	0	0	9	3	Other	other	11	11	0.003566796368	1.823174443	3.288856948	8	3
yapışkanlık	NOUN	4	0	4	0	0	0	4	0	Other	other	3	3	0.0009727626459	0.4861798515	2.78370697	11	4
yapışkanot	NOUN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	10	4
yapışmak	VERB	814	286	528	243	51	16	234	270	Other	other	409	93	0.1326199741	98.93759979	4.995894574	8	3
yapıştırmak	VERB	1539	390	1149	81	233	21	835	369	Other	other	437	128	0.1416990921	187.0576979	5.272257686	11	4
yapıştırıcı	NOUN	179	41	138	13	32	15	93	26	Objects, Tools & Physical Things	tools	88	26	0.02853437095	21.75654836	4.34000947	11	5
yapışık	ADJ	48	20	28	13	0	0	15	20	Personality, Values & Behavior	appearance	32	2	0.01037613489	5.834158218	3.774933045	7	3
yar	ADJ	30	7	23	2	20	0	1	7	Other	other	12	5	0.003891050584	3.646348887	3.576098659	3	1
yar	NOUN	164	76	88	53	16	1	19	75	Earth, Geography & Natural Phenomena	landforms	103	15	0.03339818418	19.93337391	4.30222091	3	1
Yar	PROPN	30	29	1	1	0	0	0	29	Other	other	11	4	0.003566796368	3.646348887	3.576098659	3	1
yara	NOUN	661	155	506	325	115	10	66	145	Health & Medicine	diseases	294	83	0.0953307393	80.34122047	4.905594955	4	2
yarabbi	INTJ	13	3	10	10	0	0	0	3	History, Politics & Religion	religion	11	2	0.003566796368	1.580084518	3.230865001	7	3
Yaradan	NOUN	1	0	1	1	0	0	0	0	History, Politics & Religion	religion	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
yaradılış	NOUN	12	1	11	7	4	0	0	1	Other	other	9	7	0.002918287938	1.458539555	3.198680318	9	4
yaradılışlı	ADJ	3	1	2	2	0	0	0	1	Personality, Values & Behavior	temperament	3	1	0.0009727626459	0.3646348887	2.686796957	11	5
yaralamak	VERB	159	25	134	52	56	4	26	21	Violence & Conflict	violence	102	37	0.03307392996	19.3256491	4.288856948	9	4
yaralanma	NOUN	3	0	3	0	1	0	2	0	Health & Medicine	diseases	3	2	0.0009727626459	0.3646348887	2.686796957	9	4
yaralanmak	VERB	234	53	181	65	64	5	52	48	Health & Medicine	diseases	146	78	0.04734111543	28.44152132	4.455804828	10	4
yaralı	ADJ	283	32	251	136	96	1	19	31	Health & Medicine	diseases	109	24	0.03534370947	34.3972245	4.538055305	6	3
yaramak	VERB	2317	1263	1054	472	135	14	447	1249	Other	other	960	131	0.3112840467	281.619679	5.449850397	7	3
yaramaz	ADJ	396	251	145	115	18	3	12	248	Personality, Values & Behavior	temperament	211	25	0.06841763943	48.1318053	4.683527472	7	3
yaramazlık	NOUN	11	1	10	10	0	0	0	1	Other	other	9	8	0.002918287938	1.336994592	3.163918211	10	4
yaranmak	VERB	7	2	5	4	0	0	1	2	Other	other	6	5	0.001945525292	0.8508147402	2.987826952	8	3
yarar	NOUN	539	150	389	85	92	62	212	88	Other	other	311	36	0.100843061	65.512735	4.817130725	5	2
yararlanmak	VERB	1174	37	1137	65	184	5	888	32	Other	other	339	144	0.109922179	142.6937864	5.154774832	11	4
yararlı	ADJ	303	33	270	51	51	1	168	32	Other	other	171	12	0.05544747082	36.82812375	4.567610549	7	3
yararlılık	NOUN	1	0	1	1	0	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	10	4
yararsız	ADJ	12	2	10	7	1	0	2	2	Other	other	10	2	0.003242542153	1.458539555	3.198680318	8	3
yarasa	NOUN	291	53	238	27	7	4	204	49	Nature & Living Things	animals	104	24	0.03372243839	35.3695842	4.550119817	6	3
yaratma	NOUN	1	1	0	0	0	0	0	1	History, Politics & Religion	religion	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
yaratmak	VERB	866	213	653	314	142	3	197	210	Arts, Media & Entertainment	design	355	140	0.1151102464	105.2579379	5.022756063	8	3
yaratıcı	ADJ	120	22	98	5	64	0	29	22	History, Politics & Religion	religion	49	4	0.01588845655	14.58539555	4.167522336	8	4
