word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
gemi	6.61	6.92	2	4	4285	521.54	1018	231.99	164	2.05	1.27	1.61	0.7
gerçeklik	1.89	2.06	3	9	25	3.04	0	0	35	3.87	2.11	2.42	1.13
gezi	4.6	4.98	2	4	884	107.59	759	172.97	74	2.21	1.33	1.77	0.77
girift	1.52	2.92	2	6	0	0	0	0	5	2.41	1.4	2.1	1.13
giyim	5.71	5.45	2	5	140	17.04	157	35.78	74	6.01	1.84	2.84	1.77
giysi	6.08	6.54	2	5	1531	186.34	1303	296.94	125	1.88	1	1.67	0.75
gıcırtı	4.03	5.29	3	7	38	4.63	74	16.86	12	2.02	1.24	1.72	0.68
göl	6.38	6.76	1	3	2568	312.56	832	189.6	115	2.19	1.15	1.94	0.96
gölge	5.05	5.55	2	5	1598	194.5	906	208.38	105	2.37	1.52	1.79	0.8
gömlek	6.64	6.89	2	6	444	54.04	416	94.8	73	1.9	0.95	1.65	0.73
gözlük	6.63	6.87	2	6	782	95.18	0	0	78	1.95	1.27	1.62	0.6
gravür	2.68	5.63	3	6	7	0.85	2	0.46	3	6.12	1.78	3.43	1.85
gül	6.42	6.79	1	3	213	25.92	7413	1704.99	116	3.11	1.83	2.23	1
gülüş	5.32	4.66	2	5	169	20.57	298	67.91	28	1.75	0.81	1.63	0.65
gün	3.22	3.81	1	3	22513	2,740.13	16351	3760.73	2633	1.96	1.12	1.8	0.91
gündüz	4.94	5.27	2	6	947	115.26	607	139.61	57	1.62	0.59	1.51	0.55
güney	4.25	3.66	2	5	1530	186.22	682	156.86	138	1.71	0.85	1.53	0.68
gürültü	4.55	5.29	3	7	788	95.91	915	208.52	131	2.67	1.41	2.2	0.89
gurur	2.68	1.69	2	5	726	88.36	423	96.4	60	2	1.17	1.84	0.78
haber	4.21	4.55	2	5	4735	576.31	3157	719.44	598	2.43	1.42	1.83	0.69
hacim	3.5	4.94	2	5	358	43.57	11	2.51	66	3.7	1.8	3.19	1.1
haksız	2.67	2.3	2	6	276	33.59	0	0	55	2.83	1.66	2.17	0.96
hamile	6.44	6.45	3	6	16	1.95	49	11.17	35	2.15	1.2	1.93	0.79
hamur	5.91	6.55	2	5	889	108.2	193	44.39	85	1.81	0.87	1.69	0.68
haraç	3.52	5.02	2	5	6	0.73	12	2.73	8	4.57	2.12	3.01	1.37
harf	5.56	6.02	1	4	4280	520.93	549	125.11	93	2	0.91	1.98	0.78
harika	2.87	1.44	3	6	2347	285.66	619	142.37	77	2.48	1.62	1.81	0.76
harita	6.26	6.7	3	6	1766	214.95	435	99.13	61	2.59	1.28	2.28	0.78
hasar	3.94	4.47	2	5	163	19.84	22	5.01	62	3.32	1.87	2.33	1.01
haşarı	3.99	2.85	3	6	1	0.12	17	3.87	5	3.31	1.98	1.66	0.67
hastane	6.34	6.68	3	7	899	109.42	422	96.17	209	1.91	1.11	3.03	1.39
