lemma	pos	frequency	source	class	subclass
için için gülümsemek	VERB	1	meb	Education & Language	idioms
için için kaynamak	VERB	1	tubitak	Education & Language	idioms
içinden bir şeyler kopmak	VERB	1	literature	Education & Language	idioms
içine ateş atmak	VERB	1	video	Education & Language	idioms
içine baygınlıklar çökmek	VERB	1	video	Emotions & Mental Processes	emotions
içine fenalık basmak	VERB	1	literature	Emotions & Mental Processes	emotions
içine fenalık gelmek	VERB	1	video	Emotions & Mental Processes	emotions
içini parça parça etmek	VERB	1	tubitak	Emotions & Mental Processes	emotions
iflah olmamak	VERB	1	literature	Education & Language	idioms
ifrit kesilmek	VERB	1	literature	Education & Language	idioms
iğne deliği gibi	NA	1	tubitak	Personality, Values & Behavior	appearance
iğne deliğinden girmek	VERB	1	video	Education & Language	idioms
iğne üstünde oturmak	VERB	1	tubitak	Education & Language	idioms
iğne yemek	VERB	1	video	Health & Medicine	medicine
iğne yutmuş maymuna dönmek	VERB	1	tubitak	Education & Language	idioms
ihmal edilmek	VERB	1	video	Personality, Values & Behavior	behavior
iki ahbap çavuş	NA	1	literature	Education & Language	idioms
iki arada bir derede kalmak	VERB	1	literature	Education & Language	idioms
iki çift lakırtı etmek	VERB	1	tubitak	Education & Language	idioms
iki çift söz etmek	VERB	1	video	Education & Language	idioms
iki eli böğründe kalmak	VERB	1	literature	Education & Language	idioms
iki eli kanda olsa	NA	1	tubitak	Education & Language	idioms
iki eli kızıl kanda olsa	NA	1	tubitak	Education & Language	idioms
iki eli yanına gelmek	VERB	1	meb	Education & Language	idioms
iki gözü iki çeşme ağlamak	VERB	1	literature	Education & Language	idioms
iki hırtı bir pırtı	NA	1	literature	Education & Language	idioms
iki iyilikten biri	NA	1	literature	Health & Medicine	diseases
iki lafı bir araya getirememek	VERB	1	literature	Education & Language	idioms
iki satır konuşmak	VERB	1	literature	Education & Language	idioms
iki satır laf etmek	VERB	1	meb	Education & Language	idioms
ikilemde kalmak	VERB	1	literature	Education & Language	idioms
ikileme düşmek	VERB	1	video	Education & Language	idioms
ikili oynamak	VERB	1	video	Education & Language	idioms
ikinci baharı yaşamak	VERB	1	video	Education & Language	idioms
ikinci plana düşmek	VERB	1	literature	Education & Language	idioms
iktidara gelmek	VERB	1	literature	History, Politics & Religion	politics
ileri geri konuşmak	VERB	1	literature	Education & Language	idioms
ileri geri söz etmek	VERB	1	video	Personality, Values & Behavior	behavior
