lemma	pos	frequency	source	class	subclass
devam etmek	VERB	4806	meb|saha|tubitak|video|literature	Other	other
yardım etmek	VERB	4056	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
yer almak	VERB	3117	meb|saha|tubitak|video|literature	Other	other
teşekkür etmek	VERB	2940	meb|saha|tubitak|video|literature	Other	other
dikkat etmek	VERB	2586	meb|saha|tubitak|video|literature	Other	other
hareket etmek	VERB	2448	meb|saha|tubitak|video|literature	Other	other
takip etmek	VERB	2122	meb|saha|tubitak|video|literature	Other	other
karar vermek	VERB	2104	meb|saha|tubitak|video|literature	Other	other
el etmek	VERB	1994	meb|saha|tubitak|video|literature	Other	other
bir süre	NOUN	1935	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
bir daha	NOUN	1928	meb|saha|tubitak|video|literature	Other	other
oyun oynamak	VERB	1907	meb|saha|tubitak|video|literature	Other	other
şu an	NOUN	1874	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
tahmin etmek	VERB	1741	meb|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
geri dönmek	VERB	1686	meb|saha|tubitak|video|literature	Other	other
ad vermek	VERB	1669	meb|saha|tubitak|video|literature	Other	other
bu yüzden	NOUN	1666	meb|saha|tubitak|video|literature	Education & Language	grammar
kabul etmek	VERB	1593	meb|saha|tubitak|video|literature	Other	other
hoş geldin / hoş geldiniz	NA	1528	meb|tubitak|video|literature	Sound & Communication Phenomena	sounds
kontrol etmek	VERB	1523	meb|saha|tubitak|video|literature	Other	other
özür dilemek	VERB	1458	meb|saha|tubitak|video|literature	Personality, Values & Behavior	forgiveness
bir yandan	NOUN	1445	saha|meb|video|tubitak|literature	Education & Language	grammar
belki de	NOUN	1443	meb|saha|tubitak|video|literature	Other	other
cevap vermek	VERB	1351	meb|saha|tubitak|video|literature	Other	other
neden olmak	VERB	1346	meb|saha|tubitak|video|literature	Other	other
işe yaramak	VERB	1329	meb|saha|tubitak|video|literature	Other	other
bu aralar	NOUN	1320	saha|meb|video|tubitak|literature	Time, Numbers & Measurement	time
yardımcı olmak	VERB	1319	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
her gün	NOUN	1304	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
ortaya çıkmak	VERB	1288	meb|saha|tubitak|video|literature	Other	other
sahip olmak	VERB	1257	meb|saha|tubitak|video|literature	Other	other
izin vermek	VERB	1210	meb|saha|tubitak|video|literature	Other	other
yola çıkmak	VERB	1206	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	travel
ses çıkarmak	VERB	1202	saha|meb|video|tubitak|literature	Sound & Communication Phenomena	sounds
uygun olmak	VERB	1150	meb|saha|tubitak|video|literature	Other	other
sakin olmak	VERB	1139	meb|saha|tubitak|video|literature	Personality, Values & Behavior	self discipline
bir sürü	NOUN	1135	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	numbers
zarar vermek	VERB	1072	meb|saha|tubitak|video|literature	Violence & Conflict	violence
bir yana	NOUN	1060	meb|saha|tubitak|video|literature	Other	other
bu sefer	NOUN	1059	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
bu arada	NOUN	950	meb|saha|tubitak|video|literature	Education & Language	grammar
anlamına gelmek	VERB	916	meb|saha|tubitak|video|literature	Other	other
mutlu olmak	VERB	900	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
işlem yapmak	VERB	889	saha|meb|video|tubitak|literature	Other	other
gözlem yapmak	VERB	886	tubitak|meb|video|literature	Other	other
dışarı çıkmak	VERB	876	meb|saha|tubitak|video|literature	Other	other
şarkı söylemek	VERB	860	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	music
içeri girmek	VERB	857	meb|saha|tubitak|video|literature	Other	other
dikkat çekmek	VERB	838	meb|saha|tubitak|video|literature	Other	other
ihtiyacı olmak	VERB	838	meb|saha|tubitak|video|literature	Other	other
ifade etmek	VERB	837	meb|saha|tubitak|video|literature	Other	other
fark olunmak	VERB	836	meb|saha|tubitak|video|literature	Other	other
bir bakıma	NOUN	826	meb|saha|tubitak|video|literature	Other	other
acele etmek	VERB	817	meb|tubitak|video|literature	Other	other
haber vermek	VERB	817	meb|tubitak|video|literature	Other	other
kapı açmak	VERB	809	meb|saha|tubitak|video|literature	Other	other
doğal sayı	NOUN	801	meb|tubitak|literature	Time, Numbers & Measurement	numbers
geç kalmak	VERB	790	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
aynı zamanda	NOUN	761	meb|saha|tubitak|video|literature	Other	other
hoşuna gitmek	VERB	724	saha|meb|video|tubitak|literature	Education & Language	idioms
tercih etmek	VERB	712	meb|saha|tubitak|video|literature	Other	other
soru sormak	VERB	708	meb|saha|tubitak|video|literature	Other	other
söz vermek	VERB	708	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
resim yapmak	VERB	683	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	handicrafts
ait olmak	VERB	671	meb|saha|tubitak|video|literature	Other	other
ele geçirmek	VERB	664	meb|tubitak|video|literature	Other	other
bağlı olmak	VERB	658	tubitak|meb|video|literature	Personality, Values & Behavior	loyalty
yemek yemek	VERB	658	meb|saha|tubitak|video|literature	Food & Nutrition	dishes
akla gelmek	VERB	652	meb|saha|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
zorda kalmak	VERB	647	meb|saha|tubitak|video|literature	Other	other
hoşça kal	NA	639	tubitak|meb|video|literature	Sound & Communication Phenomena	sounds
kusura bakmamak	VERB	634	tubitak|video|literature	Personality, Values & Behavior	forgiveness
iş yapmak	VERB	632	meb|saha|tubitak|video|literature	Other	other
yol bulmak	VERB	630	meb|saha|tubitak|video|literature	Other	other
bir an önce	NOUN	616	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
el almak	VERB	612	meb|saha|tubitak|video|literature	Education & Language	idioms
nefes almak	VERB	608	meb|saha|tubitak|video|literature	Other	other
hoşça kal	VERB	597	meb|tubitak|video|literature	Other	other
plan yapmak	VERB	582	meb|saha|tubitak|video|literature	Other	other
ziyaret etmek	VERB	581	meb|saha|tubitak|video|literature	Other	other
deney yapmak	VERB	566	saha|meb|video|tubitak|literature	Science & Technology	experiments
ses çıkarmamak	VERB	556	meb|saha|tubitak|video|literature	Other	other
yok olmak	VERB	554	meb|saha|tubitak|video|literature	Other	other
fotoğraf çekmek	VERB	547	meb|saha|tubitak|video|literature	Other	other
araç gereç	NOUN	542	meb|saha|tubitak|video|literature	Objects, Tools & Physical Things	tools
bilgi vermek	VERB	541	saha|meb|video|tubitak|literature	Other	other
rahat etmek	VERB	540	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
yerine getirmek	VERB	539	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
arkadaş olmak	VERB	538	meb|saha|tubitak|video|literature	People & Relationships	friendship
yer vermek	VERB	537	meb|saha|tubitak|video|literature	Education & Language	idioms
yerinde olmak	VERB	534	meb|saha|tubitak|video|literature	Other	other
hoşa gitmek	VERB	530	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
spor yapmak	VERB	530	saha|meb|video|tubitak|literature	Sports, Games & Recreation	sports
yol açmak	VERB	526	meb|saha|tubitak|video|literature	Other	other
başka biri	NOUN	519	meb|saha|tubitak|video|literature	Other	other
ele gelmek	VERB	515	meb|saha|tubitak|video|literature	Other	other
rica etmek	VERB	513	meb|saha|tubitak|video|literature	Other	other
yağmur yağmak	VERB	513	meb|saha|tubitak|video|literature	Earth, Geography & Natural Phenomena	meteorology
içi almamak	VERB	512	meb|saha|tubitak|video|literature	Education & Language	idioms
tamir etmek	VERB	511	meb|saha|tubitak|video|literature	Other	other
emin olmak	VERB	509	meb|tubitak|video|literature	Other	other
az sonra	NOUN	508	meb|tubitak|video|literature	Time, Numbers & Measurement	time
hazır olmak	VERB	494	meb|tubitak|video|literature	Other	other
vay canına	NOUN	492	meb|tubitak|video|literature	Other	other
hayal etmek	VERB	481	meb|saha|tubitak|video|literature	Other	other
şaka yapmak	VERB	476	meb|saha|tubitak|video|literature	Personality, Values & Behavior	behavior
karşı çıkmak	VERB	474	meb|saha|tubitak|video|literature	Education & Language	idioms
dua etmek	VERB	473	meb|saha|tubitak|video|literature	History, Politics & Religion	religion
yok etmek	VERB	473	meb|saha|tubitak|video|literature	Other	other
inşa etmek	VERB	470	meb|saha|tubitak|video|literature	Other	other
sohbet etmek	VERB	470	meb|saha|tubitak|video|literature	People & Relationships	friendship
davet etmek	VERB	463	meb|tubitak|video|literature	Other	other
tekrar etmek	VERB	463	meb|saha|tubitak|video|literature	Other	other
belli olmak	VERB	452	meb|saha|tubitak|video|literature	Other	other
yer bulmak	VERB	448	meb|saha|tubitak|video|literature	Other	other
engel olmak	VERB	446	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	safety rules
kendine gelmek	VERB	442	meb|tubitak|video|literature	Education & Language	idioms
yol almak	VERB	442	meb|tubitak|video|literature	Other	other
tebrik etmek	VERB	441	meb|saha|tubitak|video|literature	Other	other
bir yanda	NOUN	432	meb|saha|tubitak|video|literature	Other	other
sebep olmak	VERB	430	meb|saha|tubitak|video|literature	Other	other
ilgi çekmek	VERB	426	meb|saha|tubitak|video|literature	Education & Language	idioms
başına gelmek	VERB	412	meb|saha|tubitak|video|literature	Education & Language	idioms
göç etmek	VERB	412	meb|saha|tubitak|video|literature	History, Politics & Religion	migration
ihtiyaç duymak	VERB	411	meb|saha|tubitak|video|literature	Other	other
satın almak	VERB	410	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	shopping
yerine gelmek	VERB	409	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
adım atmak	VERB	403	meb|saha|tubitak|video|literature	Other	other
bir araya gelmek	VERB	400	meb|saha|tubitak|video|literature	Other	other
icat etmek	VERB	390	meb|saha|tubitak|video|literature	Other	other
var olmak	VERB	390	meb|saha|tubitak|video|literature	Other	other
ayağa kalkmak	VERB	387	meb|saha|tubitak|video|literature	Other	other
ne haber?	NA	383	video|literature	Other	other
yol gitmek	VERB	383	meb|saha|tubitak|video|literature	Other	other
işi olmak	VERB	381	meb|saha|tubitak|video|literature	Other	other
acil durum	NOUN	379	saha|meb|video|tubitak|literature	Other	other
iyi gelmek	VERB	379	meb|saha|tubitak|video|literature	Other	other
pes etmek	VERB	377	meb|saha|tubitak|video|literature	Other	other
abone olmak	VERB	376	meb|tubitak|video|literature	Work & Economy	financial concepts
söz etmek	VERB	374	meb|saha|tubitak|video|literature	Other	other
işaret etmek	VERB	373	meb|tubitak|video|literature	Other	other
hasta olmak	VERB	369	meb|saha|tubitak|video|literature	Health & Medicine	diseases
mutlu etmek	VERB	364	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
ses çıkmamak	VERB	356	meb|saha|tubitak|video|literature	Other	other
hata yapmak	VERB	353	saha|meb|video|tubitak|literature	Personality, Values & Behavior	behavior
iletişim kurmak	VERB	353	meb|saha|tubitak|video|literature	Education & Language	idioms
zarar görmek	VERB	353	meb|saha|tubitak|video|literature	Other	other
işi bitmek	VERB	350	meb|saha|tubitak|video|literature	Other	other
karşılık vermek	VERB	350	meb|saha|tubitak|video|literature	Education & Language	idioms
geri almak	VERB	349	meb|saha|tubitak|video|literature	Other	other
göz açamamak	VERB	342	meb|tubitak|video|literature	Other	other
günlük hayat	NOUN	338	saha|meb|video|tubitak|literature	Home & Domestic Life	daily life
meyve suyu	NOUN	338	meb|saha|tubitak|video|literature	Food & Nutrition	beverages
tehdit etmek	VERB	338	meb|saha|tubitak|video|literature	Personality, Values & Behavior	bullying
teslim etmek	VERB	337	meb|saha|tubitak|video|literature	Other	other
uzak durmak	VERB	336	meb|tubitak|video|literature	Other	other
yanı sıra	NOUN	334	meb|tubitak|video|literature	Education & Language	grammar
akşam yemeği	NOUN	333	meb|saha|tubitak|video|literature	Home & Domestic Life	night routine
işine gelmek	VERB	333	meb|saha|tubitak|video|literature	Education & Language	idioms
elinden tutmak	VERB	328	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
selam vermek	VERB	325	meb|saha|tubitak|video|literature	Other	other
katkıda bulunmak	VERB	322	meb|saha|tubitak|video|literature	Other	other
memnun olmak	VERB	322	meb|tubitak|video|literature	Other	other
ne de olsa	NOUN	320	meb|saha|tubitak|video|literature	Education & Language	grammar
görev yapmak	VERB	318	saha|meb|video|tubitak|literature	Other	other
iş başa düşmek	VERB	317	meb|tubitak|video|literature	People & Relationships	responsibilities
vakit geçirmek	VERB	317	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
uzay istasyonu	NOUN	309	meb|tubitak|video	Space, Shapes & Properties	space
o kadar	NOUN	305	meb|saha|tubitak|video|literature	Education & Language	grammar
şimdiye kadar	NOUN	304	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
hediye etmek	VERB	303	meb|saha|tubitak|video|literature	Other	other
ikna etmek	VERB	302	meb|saha|tubitak|video|literature	Other	other
yol göstermek	VERB	302	meb|tubitak|video|literature	Other	other
çabuk olmak	VERB	300	meb|video|literature	Other	other
not almak	VERB	300	meb|saha|tubitak|video|literature	Other	other
gereksinim duymak	VERB	299	tubitak|saha|meb	Other	other
harekete geçmek	VERB	298	meb|tubitak|video|literature	People & Relationships	responsibilities
dalga geçmek	VERB	296	meb|saha|tubitak|video|literature	Personality, Values & Behavior	bullying
mümkün olmak	VERB	295	meb|saha|tubitak|video|literature	Other	other
örnek vermek	VERB	293	meb|saha|tubitak|video|literature	Other	other
millî mücadele	NOUN	290	meb|tubitak|video|literature	History, Politics & Religion	historical events
temsil etmek	VERB	290	meb|tubitak|video|literature	Other	other
denk gelmek	VERB	289	meb|saha|tubitak|video|literature	Other	other
hamle yapmak	VERB	289	tubitak|meb|video|literature	Emotions & Mental Processes	action
kolay gelsin!	INTJ	288	meb|saha|tubitak|video|literature	Sound & Communication Phenomena	sounds
içinde olmak	VERB	287	meb|saha|tubitak|video|literature	Other	other
hayırlı olsun	NA	286	saha|meb|video|tubitak|literature	Education & Language	fixed expressions
yerinde duramamak	VERB	286	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
tespit etmek	VERB	284	meb|saha|tubitak|video|literature	Other	other
ifade vermek	VERB	283	meb|tubitak|literature	People & Relationships	responsibilities
sona ermek	VERB	283	meb|tubitak|video|literature	Time, Numbers & Measurement	time
altında kalmak	VERB	282	tubitak|meb|video|literature	Other	other
geri vermek	VERB	280	meb|saha|tubitak|video|literature	Other	other
gerçek olmak	VERB	276	meb|saha|tubitak|video|literature	Other	other
rüya görmek	VERB	276	meb|tubitak|video|literature	Other	other
i̇kram etmek	VERB	273	tubitak|meb|video|literature	Other	other
yemek yapmak	VERB	271	meb|saha|tubitak|video|literature	Other	other
gurur duymak	VERB	270	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
koku almak	VERB	267	meb|saha|tubitak|video|literature	Other	other
not etmek	VERB	267	meb|saha|tubitak|video|literature	Other	other
özen göstermek	VERB	264	meb|saha|tubitak|video|literature	Other	other
yardım almak	VERB	263	meb|saha|tubitak|video|literature	Personality, Values & Behavior	helpfulness
kahvaltı yapmak	VERB	259	meb|saha|tubitak|video|literature	Home & Domestic Life	daytime routines
ne olursa olsun	NOUN	257	meb|saha|tubitak|video|literature	Other	other
evcil hayvan	NOUN	254	meb|saha|tubitak|video|literature	Nature & Living Things	animals
uzay gemisi	NOUN	254	meb|saha|tubitak|video|literature	Space, Shapes & Properties	space
işine bakmak	VERB	253	meb|tubitak|video|literature	People & Relationships	responsibilities
hem de nasıl	NOUN	250	meb|saha|tubitak|video|literature	Other	other
önem vermek	VERB	250	meb|saha|tubitak|video|literature	Other	other
hayal kurmak	VERB	249	meb|saha|tubitak|video|literature	Education & Language	idioms
ikram etmek	VERB	249	meb|tubitak|video|literature	Other	other
ne yazık ki	NOUN	249	meb|tubitak|video|literature	Other	other
zıt anlamlı	NOUN	249	meb|literature	Education & Language	grammar
haber olmak	VERB	247	meb|saha|tubitak|video|literature	Other	other
çizgi film	NOUN	246	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	cinema
rahat olmak	VERB	244	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
taklit etmek	VERB	244	meb|tubitak|video|literature	Other	other
önlem almak	VERB	243	meb|tubitak|video|literature	Transportation, Travel & Safety	safety rules
açık olmak	VERB	242	meb|saha|tubitak|video|literature	Other	other
meydana gelmek	VERB	242	meb|saha|tubitak|video|literature	Other	other
zaman zaman	NOUN	242	meb|tubitak|video|literature	Time, Numbers & Measurement	time
belli etmek	VERB	241	meb|saha|tubitak|video|literature	Other	other
eğitim almak	VERB	241	meb|saha|tubitak|video|literature	Education & Language	school
sağlık olsun!	NA	240	saha|meb|video|tubitak|literature	Education & Language	idioms
yuva yapmak	VERB	235	meb|saha|tubitak|video|literature	Education & Language	idioms
mücadele etmek	VERB	233	meb|saha|tubitak|video|literature	Other	other
tarif etmek	VERB	233	meb|saha|tubitak|video|literature	Other	other
yarım saat	NOUN	232	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
iç geçirmek	VERB	231	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
afiyet olsun	NA	229	meb|tubitak|video|literature	Sound & Communication Phenomena	sounds
ateş etmek	VERB	228	meb|tubitak|video|literature	Violence & Conflict	violence
araya girmek	VERB	227	meb|saha|tubitak|video|literature	Other	other
izin almak	VERB	227	meb|saha|tubitak|video|literature	Other	other
geçmiş olsun	NA	225	meb|tubitak|video|literature	Other	other
iyi gün	NOUN	225	meb|tubitak|video|literature	Other	other
başından geçmek	VERB	224	meb|tubitak|video|literature	Other	other
eksik olmamak	VERB	224	meb|saha|tubitak|video|literature	Other	other
dikkate almak	VERB	223	meb|tubitak|video|literature	Other	other
uykuya dalmak	VERB	223	meb|saha|tubitak|video|literature	Home & Domestic Life	night routine
ilan etmek	VERB	221	meb|saha|tubitak|video|literature	Other	other
nefret etmek	VERB	218	saha|tubitak|video|literature	Emotions & Mental Processes	emotions
ortaya çıkarmak	VERB	218	meb|saha|tubitak|video|literature	Other	other
bir araya getirmek	VERB	217	meb|saha|tubitak|video|literature	Other	other
rahat bırakmak	VERB	217	meb|tubitak|video|literature	Other	other
dost olmak	VERB	215	meb|saha|tubitak|video|literature	People & Relationships	friendship
namaz kılmak	VERB	214	meb|video|literature	History, Politics & Religion	religion
altta kalmak	VERB	210	meb|tubitak|video|literature	Other	other
örnek olmak	VERB	210	meb|saha|tubitak|video|literature	Other	other
destek olmak	VERB	206	meb|tubitak|video|literature	Personality, Values & Behavior	helpfulness
etkili olmak	VERB	206	meb|saha|tubitak|video|literature	Other	other
idare etmek	VERB	206	meb|tubitak|video|literature	Other	other
teslim olmak	VERB	204	meb|tubitak|video|literature	Other	other
öne çıkmak	VERB	203	meb|tubitak|video|literature	Other	other
haber almak	VERB	202	meb|tubitak|video|literature	Other	other
ortaya koymak	VERB	202	meb|saha|tubitak|video|literature	Other	other
hak vermek	VERB	201	meb|saha|tubitak|video|literature	Other	other
test etmek	VERB	201	meb|saha|tubitak|video|literature	Other	other
yok canım	NA	200	meb|tubitak|video|literature	Other	other
açığa çıkmak	VERB	199	meb|tubitak|video|literature	Other	other
balık tutmak	VERB	199	meb|tubitak|video|literature	Earth, Geography & Natural Phenomena	sea
işgal etmek	VERB	198	meb|tubitak|video|literature	Violence & Conflict	violence
adam olmak	VERB	195	meb|saha|tubitak|video|literature	Other	other
çıplak gözle	NOUN	195	meb|tubitak|video	Education & Language	idioms
isim vermek	VERB	195	saha|meb|video|tubitak|literature	Education & Language	idioms
kafası karışmak	VERB	195	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
hay Allah!	NA	194	meb|video|literature	Education & Language	idioms
diş fırçası	NOUN	193	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	hygiene products
iç çekmek	VERB	193	meb|saha|tubitak|video|literature	Education & Language	idioms
karar almak	VERB	193	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
göz atmak	VERB	192	meb|tubitak|video|literature	Education & Language	idioms
yalnız kalmak	VERB	192	saha|meb|video|tubitak|literature	Other	other
ev sahipliği yapmak	VERB	190	tubitak|meb	Other	other
kısa yoldan	NOUN	189	meb|saha|tubitak|video|literature	Other	other
alışveriş yapmak	VERB	188	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	shopping
bu sebeple	NOUN	187	meb|tubitak|video|literature	Education & Language	grammar
trafik kazası	NOUN	186	saha|meb|video|tubitak|literature	Transportation, Travel & Safety	traffic
ara vermek	VERB	183	meb|tubitak|video|literature	Time, Numbers & Measurement	time
göz kırpmak	VERB	183	meb|tubitak|video|literature	Other	other
karşı koymak	VERB	183	meb|tubitak|video|literature	Other	other
saygı duymak	VERB	183	meb|saha|tubitak|video|literature	Personality, Values & Behavior	morality
hoş bulduk	NA	182	meb|saha|tubitak|video|literature	Sound & Communication Phenomena	sounds
zaman geçirmek	VERB	181	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
can sıkmak	VERB	179	meb|saha|tubitak|video|literature	Education & Language	idioms
el vermek	VERB	179	meb|tubitak|video|literature	Personality, Values & Behavior	helpfulness
doğal afet	NOUN	178	meb|saha|tubitak|video|literature	Earth, Geography & Natural Phenomena	disasters
geri çekilmek	VERB	177	tubitak|video|literature	Other	other
fen bilimleri	NOUN	175	meb|saha|tubitak|literature	Science & Technology	scientific disciplines
serbest bırakmak	VERB	175	meb|tubitak|video|literature	Personality, Values & Behavior	forgiveness
kavga etmek	VERB	174	meb|saha|tubitak|video|literature	Violence & Conflict	violence
sağlık olsun	NA	174	meb|saha|tubitak|video|literature	Other	other
göze almak	VERB	172	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
iyi iş	NOUN	172	meb|tubitak|video|literature	Other	other
üst kat	NOUN	172	meb|saha|tubitak|video|literature	Home & Domestic Life	home
zaman almak	VERB	172	meb|saha|tubitak|video|literature	Time, Numbers & Measurement	time
iş güç	NOUN	171	meb|tubitak|video|literature	Personality, Values & Behavior	diligence
itiraz etmek	VERB	170	meb|saha|tubitak|video|literature	Other	other
emanet etmek	VERB	168	saha|meb|video|tubitak|literature	Personality, Values & Behavior	behavior
banyo yapmak	VERB	167	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	hygiene products
ortadan kaybolmak	VERB	167	meb|tubitak|video|literature	Other	other
yol tutmak	VERB	167	meb|tubitak|video|literature	Education & Language	idioms
iyi gitmek	VERB	166	meb|tubitak|video|literature	Other	other
ok atmak	VERB	164	meb|saha|tubitak|video|literature	Sports, Games & Recreation	sports
son dakika	NOUN	164	meb|tubitak|video|literature	Other	other
yemin etmek	VERB	163	meb|saha|video|literature	Other	other
park etmek	VERB	162	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	vehicles
baba olmak	VERB	161	meb|saha|tubitak|video|literature	People & Relationships	kinship
puan almak	VERB	161	meb|tubitak|video|literature	Sports, Games & Recreation	sports
tehlilkeye atmak	VERB	161	tubitak|meb|video|literature	Education & Language	idioms
çığlık atmak	VERB	160	meb|tubitak|video|literature	Sound & Communication Phenomena	sounds
ısrar etmek	VERB	160	meb|saha|tubitak|video|literature	Other	other
zengin olmak	VERB	160	meb|tubitak|video|literature	Other	other
iple çekmek	VERB	158	tubitak|meb|video|literature	Education & Language	idioms
emeği geçmek	VERB	157	meb|tubitak|video|literature	Personality, Values & Behavior	diligence
görev almak	VERB	157	meb|tubitak|video|literature	People & Relationships	responsibilities
rol oynamak	VERB	157	meb|tubitak|video|literature	Arts, Media & Entertainment	theater
iş bitirmek	VERB	156	meb|tubitak|video|literature	Other	other
vakit kaybetmeden	NOUN	156	meb|video|literature	Time, Numbers & Measurement	time
yakın arkadaş	NOUN	156	meb|saha|tubitak|video|literature	People & Relationships	friendship
kış uykusu	NOUN	155	meb|saha|tubitak|video|literature	Nature & Living Things	animals
ödül almak	VERB	154	meb|tubitak|video|literature	People & Relationships	responsibilities
üzerinde durmak	VERB	154	meb|tubitak|video|literature	Other	other
yerine geçmek	VERB	154	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
el uzatmak	VERB	152	saha|meb|video|tubitak|literature	Education & Language	idioms
boş yere	NOUN	151	meb|saha|tubitak|video|literature	Other	other
emir vermek	VERB	151	meb|saha|tubitak|video|literature	People & Relationships	responsibilities
hayırlı olmak	VERB	151	meb|saha|video|literature|tubitak	Personality, Values & Behavior	morality
soluk almak	VERB	151	meb|saha|tubitak|video|literature	Health & Medicine	body
yol vermek	VERB	151	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	traffic rules
ihmal etmek	VERB	150	meb|tubitak|video|literature	Other	other
ne olur ne olmaz	NOUN	150	meb|saha|tubitak|video|literature	Other	other
alay etmek	VERB	149	meb|saha|tubitak|video|literature	Personality, Values & Behavior	bullying
tepki vermek	VERB	149	meb|saha|tubitak|video|literature	Other	other
itiraf etmek	VERB	148	tubitak|video|literature	Personality, Values & Behavior	honesty
Kuzey Kutbu	PROPN	148	meb|tubitak|video|literature	Earth, Geography & Natural Phenomena	geography
sahip çıkmak	VERB	148	meb|saha|tubitak|video|literature	Other	other
pişman olmak	VERB	146	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
sorun olmak	VERB	146	meb|saha|tubitak|video|literature	Other	other
güneş enerjisi	NOUN	145	meb|tubitak|video|literature	Science & Technology	energy resources
göz göze gelmek	VERB	144	meb|saha|tubitak|video|literature	Education & Language	idioms
vefat etmek	VERB	144	meb|saha|video|literature	Other	other
örnek almak	VERB	143	meb|saha|tubitak|video|literature	Other	other
yazık olmak	VERB	142	meb|tubitak|video|literature	Other	other
ders almak	VERB	141	meb|saha|tubitak|video|literature	Other	other
gözden geçirmek	VERB	141	meb|saha|tubitak|video|literature	Education & Language	idioms
çocuk oyunu	NOUN	140	meb|saha|tubitak|video|literature	Other	other
tavsiye etmek	VERB	140	meb|saha|tubitak|video|literature	Other	other
hayvanat bahçesi	NOUN	139	meb|saha|tubitak|video|literature	Nature & Living Things	animals
gök bilimci	NOUN	138	video|meb|tubitak	Work & Economy	occupations
iş görmek	VERB	138	meb|tubitak|video|literature	People & Relationships	responsibilities
şekil vermek	VERB	138	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	design
baş etmek	VERB	137	meb|tubitak|video|literature	Personality, Values & Behavior	self discipline
imza atmak	VERB	137	tubitak|meb|video|literature	Other	other
ipini çekmek	VERB	137	meb|tubitak|video|literature	Education & Language	idioms
tadını çıkarmak	VERB	137	meb|saha|tubitak|video|literature	Education & Language	idioms
yapay zekâ	NOUN	137	video|meb|tubitak|saha|literature	Science & Technology	information technologies
rekor kırmak	VERB	136	meb|tubitak|video|literature	Sports, Games & Recreation	sports
altını çizmek	VERB	135	meb|tubitak|video|literature	Other	other
anlam vermek	VERB	135	meb|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
tehlikeye atmak	VERB	134	meb|tubitak|video|literature	Other	other
antik kent	NOUN	132	saha|meb|video|tubitak|literature	History, Politics & Religion	historical sites
değer vermek	VERB	132	meb|saha|tubitak|video|literature	Education & Language	idioms
son bulmak	VERB	132	meb|tubitak|video|literature	Other	other
temas etmek	VERB	132	meb|saha|tubitak|video|literature	Other	other
millî park	NOUN	131	meb|tubitak|video|literature	Places & Settlements	places
akıllı telefon	NOUN	130	saha|video	Science & Technology	telephone
alt tarafı	NOUN	130	meb|saha|tubitak|video|literature	Other	other
misafir olmak	VERB	130	meb|saha|tubitak|video|literature	Other	other
başlangıç noktası	NOUN	129	meb|tubitak|video|literature	Space, Shapes & Properties	directions
ele geçmek	VERB	129	meb|saha|tubitak|video|literature	Other	other
ana fikir	NOUN	128	meb|tubitak|video|literature	Literature & Publishing	language and literature
